epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.61147,3.40905,4.81672,2.06733,0.78935,0.11464,0.11453,0.06211,1.50867,4.15503,1.21192,9.999e-05,9.999e-05,9.999e-05
2,15.2483,1.34867,2.11615,1.17179,0.40716,0.4285,0.313,0.19141,1.1862,3.06048,1.07547,0.000207,0.000207,0.000207
3,20.9643,1.17852,1.85922,1.07061,0.17297,0.37147,0.22533,0.14413,1.18157,5.42988,1.10185,0.000311851,0.000311851,0.000311851
4,26.3313,1.16617,1.56752,1.06107,0.21132,0.37708,0.21412,0.12879,1.24914,5.08741,1.0999,0.000414541,0.000414541,0.000414541
5,31.6492,1.17684,1.53885,1.05147,0.39979,0.64139,0.4947,0.27613,1.19073,1.93102,1.06292,0.000515072,0.000515072,0.000515072
6,37.1497,1.12852,1.4654,1.04153,0.45011,0.63993,0.56305,0.32807,1.1887,1.74198,1.07599,0.000613443,0.000613443,0.000613443
7,42.6559,1.15267,1.44944,1.03119,0.64547,0.48247,0.53619,0.28974,1.29528,1.49434,1.10987,0.000709654,0.000709654,0.000709654
8,47.9281,1.10522,1.39422,1.01408,0.53223,0.56608,0.5605,0.3283,1.14049,1.61686,1.0607,0.000803706,0.000803706,0.000803706
9,53.1971,1.0667,1.31163,1.02439,0.62356,0.51018,0.52828,0.33038,1.12763,1.3638,1.03836,0.000837007,0.000837007,0.000837007
10,58.4774,1.02066,1.26929,0.99671,0.62746,0.44786,0.44929,0.28059,1.16019,1.48542,1.10455,0.000828008,0.000828008,0.000828008
11,63.7387,0.99333,1.17,0.98123,0.51228,0.63028,0.55487,0.36615,1.02239,1.22706,1.03004,0.000819009,0.000819009,0.000819009
12,69.2142,1.00349,1.1724,0.97582,0.54832,0.68058,0.58348,0.36839,1.03957,1.42102,1.01482,0.00081001,0.00081001,0.00081001
13,74.6961,1.03721,1.24675,0.98881,0.55746,0.5355,0.54025,0.34939,0.99583,1.71204,1.02136,0.000801011,0.000801011,0.000801011
14,79.9534,0.97894,1.13467,0.97488,0.54857,0.65107,0.57416,0.37088,0.99325,1.37496,1.02627,0.000792012,0.000792012,0.000792012
15,85.4084,0.9433,1.13404,0.95773,0.59529,0.76916,0.69014,0.44434,0.99678,1.1194,0.99838,0.000783013,0.000783013,0.000783013
16,90.8937,0.95751,1.06232,0.96749,0.60897,0.75635,0.69337,0.47667,0.928,1.09986,0.9721,0.000774013,0.000774013,0.000774013
17,96.3819,0.9823,1.10619,0.96531,0.65668,0.72265,0.74268,0.48093,1.07085,1.12341,0.97769,0.000765014,0.000765014,0.000765014
18,101.871,0.95702,1.00778,0.94133,0.64418,0.73733,0.72877,0.49983,0.90099,1.15546,0.95165,0.000756015,0.000756015,0.000756015
19,107.358,0.95127,1.04597,0.96155,0.57941,0.80894,0.74526,0.49551,0.9704,1.17412,0.95747,0.000747016,0.000747016,0.000747016
20,112.632,0.94429,1.02436,0.95317,0.65289,0.73643,0.76573,0.52937,0.91458,1.03409,0.96067,0.000738017,0.000738017,0.000738017
21,118.127,0.92489,0.96106,0.9383,0.72804,0.70057,0.79678,0.53797,0.87619,0.98739,0.93657,0.000729018,0.000729018,0.000729018
22,123.642,0.87461,0.94129,0.92829,0.71706,0.75121,0.79171,0.53794,0.82487,0.97748,0.93879,0.000720019,0.000720019,0.000720019
23,128.917,0.8975,0.95873,0.93119,0.66346,0.71386,0.7283,0.51336,0.91864,1.06467,0.95371,0.00071102,0.00071102,0.00071102
24,134.212,0.885,0.97746,0.9338,0.70643,0.70711,0.76469,0.53317,0.8718,1.03606,0.93926,0.000702021,0.000702021,0.000702021
25,139.485,0.88407,0.93096,0.93774,0.72749,0.75958,0.80118,0.53509,0.89068,1.09514,0.95837,0.000693022,0.000693022,0.000693022
26,144.775,0.88265,0.92233,0.94063,0.71883,0.81891,0.82255,0.60228,0.8222,0.92668,0.9244,0.000684022,0.000684022,0.000684022
27,150.251,0.86663,0.88589,0.92967,0.72943,0.79521,0.82577,0.59305,0.8232,0.92416,0.93002,0.000675023,0.000675023,0.000675023
28,155.525,0.85328,0.84928,0.92272,0.66859,0.74844,0.7626,0.55104,0.87156,1.02961,0.93156,0.000666024,0.000666024,0.000666024
29,160.827,0.8574,0.87291,0.91777,0.69108,0.8094,0.80353,0.57374,0.82943,0.99483,0.93243,0.000657025,0.000657025,0.000657025
30,166.115,0.82251,0.85524,0.92366,0.777,0.78587,0.83902,0.59843,0.78324,0.87211,0.92068,0.000648026,0.000648026,0.000648026
31,171.416,0.81871,0.85151,0.90723,0.77564,0.75313,0.80732,0.59307,0.82823,0.89553,0.91771,0.000639027,0.000639027,0.000639027
32,176.726,0.81022,0.84203,0.90974,0.79137,0.79578,0.83274,0.57879,0.81226,0.90413,0.92303,0.000630028,0.000630028,0.000630028
33,182.027,0.8151,0.80935,0.91457,0.7353,0.83725,0.83909,0.604,0.80723,0.83754,0.91273,0.000621029,0.000621029,0.000621029
34,187.526,0.80907,0.80891,0.90173,0.72546,0.82366,0.82001,0.59229,0.82433,0.89091,0.92105,0.00061203,0.00061203,0.00061203
35,192.833,0.82784,0.82074,0.91953,0.73847,0.76966,0.80527,0.58931,0.78252,0.86766,0.91165,0.000603031,0.000603031,0.000603031
36,198.144,0.82477,0.86895,0.91304,0.73042,0.80999,0.79989,0.58758,0.79914,0.95183,0.91766,0.000594031,0.000594031,0.000594031
37,203.46,0.80028,0.79757,0.90534,0.73372,0.79542,0.81425,0.60972,0.78073,0.88835,0.9042,0.000585032,0.000585032,0.000585032
38,208.988,0.78503,0.7748,0.9,0.66415,0.81974,0.7738,0.58986,0.79006,0.86957,0.91164,0.000576033,0.000576033,0.000576033
39,214.307,0.80917,0.77633,0.89058,0.75067,0.77057,0.80779,0.61064,0.83812,0.84567,0.91151,0.000567034,0.000567034,0.000567034
40,219.793,0.82407,0.80957,0.90308,0.75497,0.75834,0.78067,0.60081,0.76822,0.82155,0.89818,0.000558035,0.000558035,0.000558035
41,225.08,0.78878,0.76936,0.88766,0.78807,0.73917,0.80376,0.59767,0.78366,0.81088,0.91274,0.000549036,0.000549036,0.000549036
42,230.364,0.77113,0.74184,0.88483,0.77124,0.79147,0.83742,0.63505,0.82039,0.79132,0.91313,0.000540037,0.000540037,0.000540037
43,235.861,0.77942,0.73235,0.8909,0.76458,0.79483,0.8324,0.63064,0.79255,0.82466,0.90633,0.000531038,0.000531038,0.000531038
44,241.173,0.78145,0.74202,0.89348,0.74579,0.84248,0.83832,0.63646,0.75994,0.82528,0.91094,0.000522039,0.000522039,0.000522039
45,246.717,0.7391,0.7207,0.88169,0.79113,0.768,0.81253,0.62111,0.74853,0.78564,0.90296,0.00051304,0.00051304,0.00051304
46,252.07,0.759,0.71152,0.88478,0.74361,0.75571,0.77582,0.60496,0.73186,0.78358,0.89953,0.00050404,0.00050404,0.00050404
47,257.381,0.7882,0.7218,0.89486,0.7485,0.8152,0.82098,0.61756,0.73857,0.82636,0.89709,0.000495041,0.000495041,0.000495041
48,262.692,0.77363,0.71442,0.89655,0.75777,0.78108,0.84772,0.61975,0.81384,0.83938,0.90995,0.000486042,0.000486042,0.000486042
49,267.995,0.79963,0.70761,0.88465,0.79673,0.77446,0.84323,0.62621,0.83989,0.85097,0.92335,0.000477043,0.000477043,0.000477043
50,273.342,0.79944,0.69648,0.88721,0.77131,0.81047,0.84342,0.62758,0.77363,0.80279,0.91295,0.000468044,0.000468044,0.000468044
51,278.654,0.74489,0.64845,0.875,0.7547,0.82299,0.85406,0.63533,0.76457,0.80193,0.89348,0.000459045,0.000459045,0.000459045
